Waf: Entering directory `/home/joftware/ns-allinone-3.29/ns-3.29/build'
Waf: Leaving directory `/home/joftware/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.915s)
0	1.01051	4.08063
0	1.01271	6.74564
1	1.0137	3.12943
0	1.01489	8.64052
1	1.01608	5.33387
1	1.01707	7.53727
0	1.01825	9.39991
0	1.01924	11.1459
0	1.02044	12.5892
1	1.02143	8.00546
1	1.02241	9.56537
1	1.02371	10.852
0	1.0247	12.1538
0	1.02583	13.2799
0	1.02682	14.3891
1	1.02802	10.7134
1	1.02918	11.7572
1	1.03017	12.7933
0	1.0313	13.699
0	1.03229	14.6074
0	1.03345	15.3824
0	1.03444	16.1858
1	1.03563	12.0335
0	1.03662	16.3921
1	1.03761	12.5409
0	1.03876	16.5939
1	1.03988	12.9017
1	1.04087	13.6388
0	1.04204	16.3187
1	1.04303	13.9508
0	1.04402	16.5597
1	1.04522	14.2232
0	1.04637	16.645
0	1.04736	17.2029
0	1.04852	17.6736
1	1.04951	13.8565
0	1.0505	17.8306
1	1.05162	14.1212
0	1.05277	17.877
1	1.05376	14.3576
0	1.05475	18.0145
0	1.05589	18.4133
1	1.05688	14.3238
1	1.05799	14.7886
1	1.05898	15.2677
0	1.0601	17.8384
0	1.06134	18.1745
1	1.06233	15.1345
0	1.06332	18.2841
1	1.06443	15.3078
1	1.0656	15.6875
0	1.06659	18.0304
0	1.06758	18.4011
0	1.06878	18.7024
0	1.06977	19.0519
0	1.07094	19.3422
1	1.07193	14.9034
0	1.07316	19.3426
1	1.07427	15.0119
1	1.07526	15.3844
0	1.07641	19.0794
0	1.0774	19.3897
0	1.07855	19.652
1	1.07954	15.0949
1	1.08053	15.442
1	1.08167	15.7512
0	1.08266	19.1941
1	1.08386	15.852
0	1.08507	19.1544
1	1.08606	15.9447
0	1.08705	19.2119
1	1.08819	16.0456
0	1.08941	19.1827
0	1.0904	19.4472
1	1.09152	15.9309
0	1.0925	19.469
1	1.09349	16.0526
1	1.09502	16.2454
0	1.09601	19.2044
0	1.09714	19.4228
0	1.09813	19.6641
0	1.09927	19.8705
1	1.10026	15.8251
0	1.10141	19.8727
